study,treatment,responders,exposure
Fulcher2005,E,114,36
Fulcher2005,H,131,36
Raskin2000,E,29,95
Raskin2000,I,20,95
Ratner2000,E,10,122
Ratner2000,I,21,125
Russel-Jones2004,G,68,205
Russel-Jones2004,H,32,107
Bartley2008,F,148,606
Bartley2008,I,237,307
Heller2009,F,146,278
Heller2009,E,53,131
Pieber2007,B,10,59
Pieber2007,E,24,58
Hermansen2004,B,40,69
Hermansen2004,A,45,69
Home2004,B,24,32
Home2004,A,12,30
Standl2004,B,35,139
Standl2004,A,20,123
Vague2003,B,56,121
Vague2003,A,41,60
Pieber2005,B,6,30
Pieber2005,A,5,30
Heller2012,D,90,432
Heller2012,E,23,144
Birkeland2011,D,8,18
Birkeland2011,E,6,18
Hirsch2012,D,56,169
Hirsch2012,F,35,84
Matsuhisa2016,C,26,117
Matsuhisa2016,E,12,117
Home2018,C,87,238
Home2018,E,57,242
